,Customer,Representative,spending,HQ
21,PROCTER&GAMBLE,Fleishman-Hillard,"With the revenue of 100,000 € - 199,999 €:",USA
22,PIMCO,Fleishman-Hillard,"With the revenue of 100,000 € - 199,999 €:",USA
23,THOMSON REUTERS,Fleishman-Hillard,"With the revenue of 100,000 € - 199,999 €:",Canada
24,MONSANTO,Fleishman-Hillard,"With the revenue of 500,000 € - 599,999 €:",USA
25,AKZO NOBEL,Fleishman-Hillard,"With the revenue of 50,000 € - 99,999 €:",Netherlands
26,BAYER AG,Fleishman-Hillard,"With the revenue of 50,000 € - 99,999 €:",Germany
14,CARLYLE,Fleishman-Hillard,"With the revenue of 50,000 € - 99,999 €:",USA
15,CEMBUREAU,Fleishman-Hillard,"With the revenue of 50,000 € - 99,999 €:",Belgium
16,CFA INSTITUTE,Fleishman-Hillard,"With the revenue of 50,000 € - 99,999 €:",USA
17,CHI-X (BATS),Fleishman-Hillard,"With the revenue of 50,000 € - 99,999 €:",UK
18,CANADA PENSION PLAN INVESTMENT BOARD (CPPIB),Fleishman-Hillard,"With the revenue of 50,000 € - 99,999 €:",Canada
32,DANSKE BANK,Fleishman-Hillard,"With the revenue of 50,000 € - 99,999 €:",Denmark
19,EUROPEAN INTERACTIVE DIGITAL ADVERTISING ALLIANCE (EDAA),Fleishman-Hillard,"With the revenue of 50,000 € - 99,999 €:",Belgium
20,EUROPEAN FEDERATION OF PHARMACEUTICAL INDUSTRIES (EFPIA),Fleishman-Hillard,"With the revenue of 50,000 € - 99,999 €:",Belgium
21,ELI LILLY,Fleishman-Hillard,"With the revenue of 50,000 € - 99,999 €:",USA
22,EMIRATES,Fleishman-Hillard,"With the revenue of 50,000 € - 99,999 €:",UAE
37,EXXONMOBIL,Fleishman-Hillard,"With the revenue of 50,000 € - 99,999 €:",USA
38,FALCK RENEWABLES,Fleishman-Hillard,"With the revenue of 50,000 € - 99,999 €:",UK
39,FMC,Fleishman-Hillard,"With the revenue of 50,000 € - 99,999 €:",USA
23,GRODAN,Fleishman-Hillard,"With the revenue of 50,000 € - 99,999 €:",Netherlands
24,GLODAL SILICONES COUNCIL,Fleishman-Hillard,"With the revenue of 50,000 € - 99,999 €:",UNCLEAR
42,HONEYWELL,Fleishman-Hillard,"With the revenue of 50,000 € - 99,999 €:",USA
43,HYUNDAI,Fleishman-Hillard,"With the revenue of 50,000 € - 99,999 €:",South Korea
25,EUROPEAN DIISOCYANATE & POLYOL PRODUCERS ASSOCIATION (ISOPA),Fleishman-Hillard,"With the revenue of 50,000 € - 99,999 €:",Belgium
26,MATRIX/STRADA,Fleishman-Hillard,"With the revenue of 50,000 € - 99,999 €:",UNCLEAR
27,PRIME COLLATERALISED SECURITIES (PCS),Fleishman-Hillard,"With the revenue of 50,000 € - 99,999 €:",UK
47,TRADEWEB,Fleishman-Hillard,"With the revenue of 50,000 € - 99,999 €:",USA
48,AVIVA,Fleishman-Hillard,"With the revenue of 200,000 € - 299,999 €:",UK
49,BLACKROCK,Fleishman-Hillard,"With the revenue of 200,000 € - 299,999 €:",USA
28,EUROPEAN CHEMICAL INDUSTRY COUNCIL (CEFIC),Fleishman-Hillard,"With the revenue of 200,000 € - 299,999 €:",Belgium
29,EUROPEAN INDUSTRIAL GASES ASSOCIATION (EIGA),Fleishman-Hillard,"With the revenue of 200,000 € - 299,999 €:",Belgium
52,HSBC,Fleishman-Hillard,"With the revenue of 200,000 € - 299,999 €:",UK
30,INVESTMENT ASSOCIATION (IA),Fleishman-Hillard,"With the revenue of 200,000 € - 299,999 €:",UK
54,INTERNATIONAL SWAPS AND DERIVATIVES ASSOCIATION (ISDA),Fleishman-Hillard,"With the revenue of 200,000 € - 299,999 €:",USA
31,JP MORGAN,Fleishman-Hillard,"With the revenue of 200,000 € - 299,999 €:",USA
56,LIBERTY MUTUAL,Fleishman-Hillard,"With the revenue of 200,000 € - 299,999 €:",USA
57,MORGAN STANLEY,Fleishman-Hillard,"With the revenue of 200,000 € - 299,999 €:",USA
32,NEX,Fleishman-Hillard,"With the revenue of 200,000 € - 299,999 €:",UK
59,SHV ENERGY,Fleishman-Hillard,"With the revenue of 200,000 € - 299,999 €:",Netherlands
60,S&P Global,Fleishman-Hillard,"With the revenue of 200,000 € - 299,999 €:",USA
61,BARCLAYS,Fleishman-Hillard,"With the revenue of 300,000 € - 399,999 €:",UK
62,ACACIA MINING,Fleishman-Hillard,"With the revenue of 10,000 € - 24,999 €:",UK
63,THE ASSOCIATION OF ELECTRICITY PRODUCERS (AEP),Fleishman-Hillard,"With the revenue of 10,000 € - 24,999 €:",UK
64,ARKEMA,Fleishman-Hillard,"With the revenue of 10,000 € - 24,999 €:",France
33,BOSCH,Fleishman-Hillard,"With the revenue of 10,000 € - 24,999 €:",Germany
34,BSH,Fleishman-Hillard,"With the revenue of 10,000 € - 24,999 €:",Germany
35,COMITÉ EUROPÉEN DE FABRICANT DE SUCRE (CEFS),Fleishman-Hillard,"With the revenue of 10,000 € - 24,999 €:",Belgium
36,COSMETICS EUROPE,Fleishman-Hillard,"With the revenue of 10,000 € - 24,999 €:",Belgium
37,DEUTSCHE STIFTUNG WELTBEVOELKERUNG (DSW),Fleishman-Hillard,"With the revenue of 10,000 € - 24,999 €:",Germany
70,ENTSO-E,Fleishman-Hillard,"With the revenue of 10,000 € - 24,999 €:",Belgium
71,EUROPEAN DATAWAREHOUSE,Fleishman-Hillard,"With the revenue of 10,000 € - 24,999 €:",Germany
38,EWABA,Fleishman-Hillard,"With the revenue of 10,000 € - 24,999 €:",Belgium
39,FUELS ETHER,Fleishman-Hillard,"With the revenue of 10,000 € - 24,999 €:",UNCLEAR
40,FUELS EUROPE,Fleishman-Hillard,"With the revenue of 10,000 € - 24,999 €:",Belgium
41,HEINEMANN,Fleishman-Hillard,"With the revenue of 10,000 € - 24,999 €:",USA
42,HG CAPITAL,Fleishman-Hillard,"With the revenue of 10,000 € - 24,999 €:",UK
77,MAHLE,Fleishman-Hillard,"With the revenue of 10,000 € - 24,999 €:",Germany
43,PUEurope,Fleishman-Hillard,"With the revenue of 10,000 € - 24,999 €:",Belgium
44,WILEY,Fleishman-Hillard,"With the revenue of 10,000 € - 24,999 €:",USA
80,AUDI,Fleishman-Hillard,"With the revenue below 9,999 €:",Germany
81,BAYER,Fleishman-Hillard,"With the revenue below 9,999 €:",Germany
82,CASSA DEPOSITI E PRESTITI (CDP),Fleishman-Hillard,"With the revenue below 9,999 €:",Italy
45,CHATHAM FIN,Fleishman-Hillard,"With the revenue below 9,999 €:",USA
84,CONVERGYS,Fleishman-Hillard,"With the revenue below 9,999 €:",USA
85,EDENRED,Fleishman-Hillard,"With the revenue below 9,999 €:",France
86,EDF,Fleishman-Hillard,"With the revenue below 9,999 €:",France
46,EUROPEAN MINERAL WOOL MANUFACTURERS ASSOCIATION (EURIMA),Fleishman-Hillard,"With the revenue below 9,999 €:",Denmark
47,EUROPEAN ALUMINIUM,Fleishman-Hillard,"With the revenue below 9,999 €:",Belgium
89,GAZ RESEAU DISTRIBUTION FRANCE (GRDF),Fleishman-Hillard,"With the revenue below 9,999 €:",France
48,JA EUROPE ICEE,Fleishman-Hillard,"With the revenue below 9,999 €:",Belgium
49,MEDTECH,Fleishman-Hillard,"With the revenue below 9,999 €:",Belgium
92,NOVARTIS,Fleishman-Hillard,"With the revenue below 9,999 €:",Switzerland
50,PEARSON,Fleishman-Hillard,"With the revenue below 9,999 €:",UK
51,SHELL,Fleishman-Hillard,"With the revenue below 9,999 €:",Netherlands
52,SYMPHONY ENVIRONMENTAL LTD,Fleishman-Hillard,"With the revenue below 9,999 €:",UK
96,UMICORE,Fleishman-Hillard,"With the revenue below 9,999 €:",Belgium
53,UNPRI,Fleishman-Hillard,"With the revenue below 9,999 €:",UNCLEAR
54,TITANIUM DIOXIDE MANUFACTURERS ASSOCIATION (TDMA),Fleishman-Hillard,"With the revenue below 9,999 €:",Belgium
55,ALBEMARLE,Fleishman-Hillard,"With the revenue of 25,000 € - 49,999 €:",USA
100,BIO-BASED INDUSTRIES (BBI),Fleishman-Hillard,"With the revenue of 25,000 € - 49,999 €:",Germany
56,DANONE ELN,Fleishman-Hillard,"With the revenue of 25,000 € - 49,999 €:",France
57,EUROPEAN CROP PROTECTION ASSOCIATION (ECPA),Fleishman-Hillard,"With the revenue of 25,000 € - 49,999 €:",Belgium
103,EURELECTRIC,Fleishman-Hillard,"With the revenue of 25,000 € - 49,999 €:",Belgium
58,EUSALT,Fleishman-Hillard,"With the revenue of 25,000 € - 49,999 €:",Belgium
59,EUROPEAN TECH ALLIANCE (EUTA),Fleishman-Hillard,"With the revenue of 25,000 € - 49,999 €:",Belgium
60,FUTURE OF OCCUPATIONAL PENSIONS IN EUROPE (FOPE),Fleishman-Hillard,"With the revenue of 25,000 € - 49,999 €:",Germany
61,FORMACARE,Fleishman-Hillard,"With the revenue of 25,000 € - 49,999 €:",Belgium
62,GAS NATURALLY,Fleishman-Hillard,"With the revenue of 25,000 € - 49,999 €:",Belgium
109,HASBRO,Fleishman-Hillard,"With the revenue of 25,000 € - 49,999 €:",USA
63,HELLENIC BANK ASSOCIATION,Fleishman-Hillard,"With the revenue of 25,000 € - 49,999 €:",Greece
64,HUDSON TRADING,Fleishman-Hillard,"With the revenue of 25,000 € - 49,999 €:",USA
112,MARKS & SPENCER,Fleishman-Hillard,"With the revenue of 25,000 € - 49,999 €:",UK
113,NYKREDIT,Fleishman-Hillard,"With the revenue of 25,000 € - 49,999 €:",Denmark
65,QUANTLAB,Fleishman-Hillard,"With the revenue of 25,000 € - 49,999 €:",USA
115,TOWERS WATSON,Fleishman-Hillard,"With the revenue of 25,000 € - 49,999 €:",USA
66,UNESDA,Fleishman-Hillard,"With the revenue of 25,000 € - 49,999 €:",Belgium
117,Adecco Group AG,Burson-Marsteller (B-M),"With the revenue below 9,999 €:",Switzerland
118,ARCONIC,Burson-Marsteller (B-M),"With the revenue below 9,999 €:",USA
119,ICL INDUSTRIAL PRODUCTS,Burson-Marsteller (B-M),"With the revenue below 9,999 €:",Israel
120,BDO,Burson-Marsteller (B-M),"With the revenue below 9,999 €:",Philippines
67,Cogen,Burson-Marsteller (B-M),"With the revenue below 9,999 €:",Belgium
122,DAIKIN INDUSTRIES LTD,Burson-Marsteller (B-M),"With the revenue below 9,999 €:",Japan
68,EU-EYE European Alliance for Vision Research and Ophtalmology,Burson-Marsteller (B-M),"With the revenue below 9,999 €:",Belgium
69,ECVM,Burson-Marsteller (B-M),"With the revenue below 9,999 €:",Belgium
70,European Heart Network,Burson-Marsteller (B-M),"With the revenue below 9,999 €:",Belgium
126,The European Society of Cardiology,Burson-Marsteller (B-M),"With the revenue below 9,999 €:",France
127,FIRST SOLAR,Burson-Marsteller (B-M),"With the revenue below 9,999 €:",USA
71,Global Alliance on Probiotics,Burson-Marsteller (B-M),"With the revenue below 9,999 €:",Belgium
129,Islamic Military Counter Terrorism Coalition (IMCTC),Burson-Marsteller (B-M),"With the revenue below 9,999 €:",Saudi Arabia
72,Astana EXPO 2017,Burson-Marsteller (B-M),"With the revenue below 9,999 €:",Kazakhstan
73,Styrenics Steering Committee,Burson-Marsteller (B-M),"With the revenue below 9,999 €:",Belgium
132,ThinkYoung AISBL,Burson-Marsteller (B-M),"With the revenue below 9,999 €:",Belgium
133,Voltabox AG,Burson-Marsteller (B-M),"With the revenue below 9,999 €:",Germany
134,Coca-Cola European Partners Belgium,Burson-Marsteller (B-M),"With the revenue of 50,000 € - 99,999 €:",USA
74,DeLaval,Burson-Marsteller (B-M),"With the revenue of 50,000 € - 99,999 €:",Sweden
136,ENNAHDHA,Burson-Marsteller (B-M),"With the revenue of 50,000 € - 99,999 €:",Tunisia
75,EUROPEAN GAMING AND BETTING ASSOCIATION,Burson-Marsteller (B-M),"With the revenue of 50,000 € - 99,999 €:",Belgium
76,EVERRIS INTERNATIONAL,Burson-Marsteller (B-M),"With the revenue of 50,000 € - 99,999 €:",USA
139,Microsoft Corporation,Burson-Marsteller (B-M),"With the revenue of 50,000 € - 99,999 €:",USA
77,MSD Europe Inc,Burson-Marsteller (B-M),"With the revenue of 50,000 € - 99,999 €:",USA
141,PFIZER,Burson-Marsteller (B-M),"With the revenue of 50,000 € - 99,999 €:",USA
142,TARKETT France,Burson-Marsteller (B-M),"With the revenue of 50,000 € - 99,999 €:",France
78,EU MANCOZEB TASK FORCE,Burson-Marsteller (B-M),"With the revenue of 50,000 € - 99,999 €:",UK
144,WESTINGHOUSE,Burson-Marsteller (B-M),"With the revenue of 50,000 € - 99,999 €:",USA
145,3M,Burson-Marsteller (B-M),"With the revenue of 100,000 € - 199,999 €:",USA
79,BDZV,Burson-Marsteller (B-M),"With the revenue of 100,000 € - 199,999 €:",Germany
80,BROMINE SCIENCE AND ENVIRONMENTAL FORUM,Burson-Marsteller (B-M),"With the revenue of 100,000 € - 199,999 €:",Belgium
81,ACETO Corporation,Burson-Marsteller (B-M),"With the revenue of 100,000 € - 199,999 €:",USA
82,CERTIS EUROPE B.V.,Burson-Marsteller (B-M),"With the revenue of 100,000 € - 199,999 €:",Netherlands
83,United Phosphorus Ltd,Burson-Marsteller (B-M),"With the revenue of 100,000 € - 199,999 €:",India
151,Democratic Party of Moldova (PDM),Burson-Marsteller (B-M),"With the revenue of 100,000 € - 199,999 €:",Moldova
84,FAIRSEARCH EUROPE,Burson-Marsteller (B-M),"With the revenue of 100,000 € - 199,999 €:",USA
153,GRÜNENTHAL,Burson-Marsteller (B-M),"With the revenue of 100,000 € - 199,999 €:",Germany
154,Merck KGaA,Burson-Marsteller (B-M),"With the revenue of 100,000 € - 199,999 €:",Germany
85,TETRA PAK BELGIUM SA/NV,Burson-Marsteller (B-M),"With the revenue of 100,000 € - 199,999 €:",Switzerland
156,VALSPAR,Burson-Marsteller (B-M),"With the revenue of 100,000 € - 199,999 €:",USA
157,VinylPlus,Burson-Marsteller (B-M),"With the revenue of 100,000 € - 199,999 €:",Belgium
86,EUROPEAN CHEMICAL INDUSTRY COUNCIL – CEFIC (HBCD,Burson-Marsteller (B-M),"With the revenue of 100,000 € - 199,999 €:",Switzerland
159,ESIG),Burson-Marsteller (B-M),"With the revenue of 100,000 € - 199,999 €:",USA
87,ALLIANCE FOR BEVERAGE CARTONS,Burson-Marsteller (B-M),"With the revenue of 10,000 € - 24,999 €:",Switzerland
161,Cobalt REACH Consortium,Burson-Marsteller (B-M),"With the revenue of 10,000 € - 24,999 €:",USA
162,European Brain Council,Burson-Marsteller (B-M),"With the revenue of 10,000 € - 24,999 €:",Belgium
163,FIFPRO DIVISION EUROPE,Burson-Marsteller (B-M),"With the revenue of 10,000 € - 24,999 €:",Switzerland
88,Green Sports Alliance Foundation,Burson-Marsteller (B-M),"With the revenue of 10,000 € - 24,999 €:",Germany
89,Sustainable Eel Group,Burson-Marsteller (B-M),"With the revenue of 10,000 € - 24,999 €:",UK
166,VF Corporation,Burson-Marsteller (B-M),"With the revenue of 10,000 € - 24,999 €:",USA
167,QUALCOMM Inc.,Burson-Marsteller (B-M),"With the revenue of 1,000,000 € or more:",USA
168,ARKEMA,Burson-Marsteller (B-M),"With the revenue of 200,000 € - 299,999 €:",France
90,ExxonMobil Petroleum & Chemical BVBA,Burson-Marsteller (B-M),"With the revenue of 200,000 € - 299,999 €:",USA
91,Nike European Operations Netherlands B.V.,Burson-Marsteller (B-M),"With the revenue of 200,000 € - 299,999 €:",USA
171,Quinn Emanuel,Burson-Marsteller (B-M),"With the revenue of 200,000 € - 299,999 €:",USA
95,Anchorage,Burson-Marsteller (B-M),"With the revenue of 200,000 € - 299,999 €:",USA
96,Algebris and Ronit Capital,Burson-Marsteller (B-M),"With the revenue of 200,000 € - 299,999 €:",UK
177,DOW CORNING CORPORATION,Burson-Marsteller (B-M),"With the revenue of 400,000 € - 499,999 €:",USA
178,RAYTHEON,Burson-Marsteller (B-M),"With the revenue of 400,000 € - 499,999 €:",USA
179,Spotify,Burson-Marsteller (B-M),"With the revenue of 400,000 € - 499,999 €:",Sweden
97,EU-IPFF,Burson-Marsteller (B-M),"With the revenue of 25,000 € - 49,999 €:",UK
98,EUROPEAN COOL ROOFS COUNCIL (ECRC),Burson-Marsteller (B-M),"With the revenue of 25,000 € - 49,999 €:",Greece
99,PVCMED,Burson-Marsteller (B-M),"With the revenue of 25,000 € - 49,999 €:",Belgium
100,JAPAN CHEMICAL INDUSTRY ASSOC.,Burson-Marsteller (B-M),"With the revenue of 25,000 € - 49,999 €:",Tokyo
101,PKEE – Polish Electricity Association,Burson-Marsteller (B-M),"With the revenue of 25,000 € - 49,999 €:",Poland
102,REWE,Burson-Marsteller (B-M),"With the revenue of 25,000 € - 49,999 €:",Germany
186,Exxon Mobil,Interel European Affairs,"With the revenue of 25,000 € - 49,999 €:",USA
187,International Facility Management Association - IFMA,Interel European Affairs,"With the revenue of 25,000 € - 49,999 €:",USA
188,BP,Interel European Affairs,"With the revenue of 25,000 € - 49,999 €:",UK
103,Baxter,Interel European Affairs,"With the revenue of 25,000 € - 49,999 €:",USA
104,The Health Policy Partnership Ltd,Interel European Affairs,"With the revenue of 25,000 € - 49,999 €:",UK
105,European Federation of Precision Mechanical & Optical Indutry Eurom I,Interel European Affairs,"With the revenue of 25,000 € - 49,999 €:",Germany
107,FECC,Interel European Affairs,"With the revenue of 25,000 € - 49,999 €:",Belgium
108,Leclerc,Interel European Affairs,"With the revenue of 25,000 € - 49,999 €:",France
195,Personal Care Product Council,Interel European Affairs,"With the revenue of 25,000 € - 49,999 €:",USA
109,Free Fair Postal Initiative - FFPI,Interel European Affairs,"With the revenue of 25,000 € - 49,999 €:",Belgium
197,American Bar Association,Interel European Affairs,"With the revenue of 25,000 € - 49,999 €:",USA
110,European Chronic Disease Alliance,Interel European Affairs,"With the revenue of 25,000 € - 49,999 €:",Belgium
111,European Small Volume Car Manufactures Association,Interel European Affairs,"With the revenue of 25,000 € - 49,999 €:",Belgium
112,ISACA,Interel European Affairs,"With the revenue of 25,000 € - 49,999 €:",USA
113,Project Management Institute - PMI,Interel European Affairs,"With the revenue of 400,000 € - 499,999 €:",USA
114,European Academy of Allergy & Clinical Immunology,Interel European Affairs,"With the revenue of 50,000 € - 99,999 €:",Switzerland
115,Expedia,Interel European Affairs,"With the revenue of 50,000 € - 99,999 €:",USA
204,International Association of Amusement Parks,Interel European Affairs,"With the revenue of 50,000 € - 99,999 €:",USA
205,Rio Tinto Minerals,Interel European Affairs,"With the revenue of 50,000 € - 99,999 €:",UK
206,Sony Computer Entertainment Europe,Interel European Affairs,"With the revenue of 50,000 € - 99,999 €:",USA
207,Union of the European Lubricant Industry - UEIL,Interel European Affairs,"With the revenue of 50,000 € - 99,999 €:",Belgium
208,Broadcast Network Europe - BNE,Interel European Affairs,"With the revenue of 50,000 € - 99,999 €:",Belgium
116,Gilead Science Europe Ltd,Interel European Affairs,"With the revenue of 50,000 € - 99,999 €:",USA
117,IAPP,Interel European Affairs,"With the revenue of 50,000 € - 99,999 €:",USA
211,Otsuka Pharmaceutical Ltd,Interel European Affairs,"With the revenue of 50,000 € - 99,999 €:",Japan
118,EATON,Interel European Affairs,"With the revenue of 50,000 € - 99,999 €:",Ireland
119,European Carton Makers Association,Interel European Affairs,"With the revenue of 50,000 € - 99,999 €:",Netherlands
214,Mary Kay Inc,Interel European Affairs,"With the revenue of 50,000 € - 99,999 €:",USA
120,The Optical Society,Interel European Affairs,"With the revenue of 50,000 € - 99,999 €:",USA
216,Tyco Electronics,Interel European Affairs,"With the revenue of 50,000 € - 99,999 €:",Switzerland
217,Coca-Cola Europe,Interel European Affairs,"With the revenue of 50,000 € - 99,999 €:",USA
121,ISPO,Interel European Affairs,"With the revenue of 200,000 € - 299,999 €:",Germany
122,Institute of Electrical & Electronics Engineers - IEEE,Interel European Affairs,"With the revenue of 200,000 € - 299,999 €:",USA
220,Intel Corporation US,Interel European Affairs,"With the revenue of 200,000 € - 299,999 €:",USA
123,European Alliance for Personalised Medecine,Interel European Affairs,"With the revenue of 200,000 € - 299,999 €:",Belgium
222,European Society for Radiotherapy & Oncology,Interel European Affairs,"With the revenue of 10,000 € - 24,999 €:",Belgium
223,Europabio,Interel European Affairs,"With the revenue of 10,000 € - 24,999 €:",Belgium
224,L'Oréal,Interel European Affairs,"With the revenue of 10,000 € - 24,999 €:",France
225,Monsanto,Interel European Affairs,"With the revenue of 10,000 € - 24,999 €:",USA
124,CEFIC aisbl,Interel European Affairs,"With the revenue of 10,000 € - 24,999 €:",Belgium
125,Fuels Europe,Interel European Affairs,"With the revenue of 10,000 € - 24,999 €:",Belgium
126,European Art Market Coalition,Interel European Affairs,"With the revenue of 10,000 € - 24,999 €:",Belgium
127,Anti Cancer Fund,Interel European Affairs,"With the revenue of 10,000 € - 24,999 €:",Belgium
230,ChargePoint,Interel European Affairs,"With the revenue of 10,000 € - 24,999 €:",USA
231,Danone,Interel European Affairs,"With the revenue of 10,000 € - 24,999 €:",France
232,Dogs Trust,Interel European Affairs,"With the revenue of 10,000 € - 24,999 €:",UK
233,European Kidney Health Alliance,Interel European Affairs,"With the revenue of 10,000 € - 24,999 €:",Belgium
234,MeadWestVaco,Interel European Affairs,"With the revenue of 100,000 € - 199,999 €:",USA
235,Owen - Illinois Europe - OI,Interel European Affairs,"With the revenue of 100,000 € - 199,999 €:",USA
236,CPW SA,Interel European Affairs,"With the revenue of 100,000 € - 199,999 €:",Poland
237,ECOLAB,Interel European Affairs,"With the revenue of 100,000 € - 199,999 €:",USA
128,Frontiers,Interel European Affairs,"With the revenue of 100,000 € - 199,999 €:",Switzerland
239,Astellas,Interel European Affairs,"With the revenue of 100,000 € - 199,999 €:",Japan
129,EAACI,Interel European Affairs,"With the revenue of 100,000 € - 199,999 €:",Switzerland
241,IPC International Inc,Interel European Affairs,"With the revenue of 100,000 € - 199,999 €:",UK
242,Asahi Breweries Europe Ltd.,Interel European Affairs,"With the revenue of 100,000 € - 199,999 €:",Japan
243,The Alibaba Group,Interel European Affairs,"With the revenue of 100,000 € - 199,999 €:",China
130,FRE,Interel European Affairs,"With the revenue of 100,000 € - 199,999 €:",UNCLEAR
245,EUROMAT,Interel European Affairs,"With the revenue of 100,000 € - 199,999 €:",Belgium
131,MSD Europe Inc,Interel European Affairs,"With the revenue of 100,000 € - 199,999 €:",USA
132,European Federation of Parquet Importers - EFPI,Interel European Affairs,"With the revenue of 100,000 € - 199,999 €:",Belgium
133,Greenhouse Communication,Interel European Affairs,"With the revenue below 9,999 €:",USA
134,Orphan Europe,Interel European Affairs,"With the revenue below 9,999 €:",France
250,Transat,Interel European Affairs,"With the revenue below 9,999 €:",Canada
135,SFEE,Interel European Affairs,"With the revenue below 9,999 €:",Greece
252,The Takeover Panel,Interel European Affairs,"With the revenue below 9,999 €:",UK
253,Association of British Insurers,Interel European Affairs,"With the revenue below 9,999 €:",USA
136,DSM,Grayling,"With the revenue of 50,000 € - 99,999 €:",Netherlands
255,Tate & Lyle,Grayling,"With the revenue of 50,000 € - 99,999 €:",UK
256,Intellectual Ventures,Grayling,"With the revenue of 50,000 € - 99,999 €:",USA
137,Hilton,Grayling,"With the revenue of 50,000 € - 99,999 €:",USA
138,The Global Business Travel Association,Grayling,"With the revenue of 50,000 € - 99,999 €:",USA
139,Transfrigoroute International,Grayling,"With the revenue of 50,000 € - 99,999 €:",Belgium
